Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals,Home Team Name,Away Team Name,Home is Winner,Goal Difference,Home Goals Ratio,Away Goals Ratio
88,6,17,63,0 - 1,63,0,1,1,Ajax,Valencia,0,-1,0.0,1.0
89,6,43,4,1 - 4,4,1,4,5,Dinamo Zagreb,Manchester City,0,-3,0.2,0.8
90,6,21,504,0 - 3,504,0,3,3,Shakhtar Donetsk,Atlantas Klaipeda,0,-3,0.0,1.0
91,6,8,64,5 - 0,8,5,0,5,Paris Saint-Germain,Galatasaray,1,5,1.0,0.0
92,6,31,1,1 - 3,1,1,3,4,Club Brugge,Real Madrid,0,-2,0.25,0.75
93,6,2,23,3 - 1,2,3,1,4,Bayern München,Tottenham Hotspur,1,2,0.75,0.25
94,6,41,570,1 - 0,41,1,0,1,Olympiakos Piraeus,Crvena zvezda,1,1,1.0,0.0
95,6,22,6,0 - 2,6,0,2,2,Bayer Leverkusen,Juventus,0,-2,0.0,1.0
96,6,7,74,2 - 0,7,2,0,2,Atlético Madrid,Lokomotiv Moscow,1,2,1.0,0.0
97,R16 Game 1,7,5,1 - 0,7,1,0,1,Atlético Madrid,Liverpool,1,1,1.0,0.0
98,R16 Game 1,13,8,2 - 1,13,2,1,3,Borussia Dortmund,Paris Saint-Germain,1,1,0.6666666666666666,0.3333333333333333
99,R16 Game 1,504,63,4 - 1,504,4,1,5,Atlantas Klaipeda,Valencia,1,3,0.8,0.2
100,R16 Game 1,23,24,0 - 1,24,0,1,1,Tottenham Hotspur,RB Leipzig,0,-1,0.0,1.0
101,R16 Game 1,9,2,0 - 3,2,0,3,3,Chelsea,Bayern München,0,-3,0.0,1.0
102,R16 Game 1,16,3,1 - 1,3,1,1,2,Napoli,FC Barcelona,0,0,0.5,0.5
103,R16 Game 1,27,6,1 - 0,27,1,0,1,Olympique Lyon,Juventus,1,1,1.0,0.0
104,R16 Game 1,1,4,1 - 2,4,1,2,3,Real Madrid,Manchester City,0,-1,0.3333333333333333,0.6666666666666666
105,R16 Game 2,63,504,3 - 4,504,3,4,7,Valencia,Atlantas Klaipeda,0,-1,0.42857142857142855,0.5714285714285714
106,R16 Game 2,24,23,3 - 0,24,3,0,3,RB Leipzig,Tottenham Hotspur,1,3,1.0,0.0
107,R16 Game 2,5,7,2 - 3,7,2,3,5,Liverpool,Atlético Madrid,0,-1,0.4,0.6
108,R16 Game 2,8,13,2 - 0,8,2,0,2,Paris Saint-Germain,Borussia Dortmund,1,2,1.0,0.0
109,R16 Game 2,6,27,2 - 1,6,2,1,3,Juventus,Olympique Lyon,1,1,0.6666666666666666,0.3333333333333333
110,R16 Game 2,4,1,2 - 1,4,2,1,3,Manchester City,Real Madrid,1,1,0.6666666666666666,0.3333333333333333
111,R16 Game 2,2,9,4 - 1,2,4,1,5,Bayern München,Chelsea,1,3,0.8,0.2
112,R16 Game 2,3,16,3 - 1,3,3,1,4,FC Barcelona,Napoli,1,2,0.75,0.25
113,Quarter Finals,504,8,1 - 2,8,1,2,3,Atlantas Klaipeda,Paris Saint-Germain,0,-1,0.3333333333333333,0.6666666666666666
114,Quarter Finals,24,7,2 - 1,24,2,1,3,RB Leipzig,Atlético Madrid,1,1,0.6666666666666666,0.3333333333333333
115,Quarter Finals,3,2,2 - 8,2,2,8,10,FC Barcelona,Bayern München,0,-6,0.2,0.8
116,Quarter Finals,4,27,1 - 3,27,1,3,4,Manchester City,Olympique Lyon,0,-2,0.25,0.75
121,Semi Finals,24,8,0 - 3,8,0,3,3,RB Leipzig,Paris Saint-Germain,0,-3,0.0,1.0
122,Semi Finals,27,2,0 - 3,2,0,3,3,Olympique Lyon,Bayern München,0,-3,0.0,1.0
125,Final,8,2,0 - 1,2,0,1,1,Paris Saint-Germain,Bayern München,0,-1,0.0,1.0
