Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals,Home Team Name,Away Team Name,Home is Winner,Goal Difference,Home Goals Ratio,Away Goals Ratio,Home Team Evaluation,Away Team Evaluation,Penalties,Penalties Winner
88,6.0,42,23,1 - 2,23,1,2,3,Olympique Marseille,Tottenham Hotspur,0,-1,0.3333333333333333,0.6666666666666666,8.0,18.0,0,
89,6.0,1,50,5 - 1,1,5,1,6,Real Madrid,Celtic,1,4,0.8333333333333334,0.16666666666666666,29.0,6.0,0,
90,6.0,21,24,0 - 4,24,0,4,4,Shakhtar Donetsk,RB Leipzig,0,-4,0.0,1.0,11.0,18.0,0,
91,6.0,9,43,2 - 1,9,2,1,3,Chelsea,Dinamo Zagreb,1,1,0.6666666666666666,0.3333333333333333,21.0,7.0,0,
92,6.0,25,28,4 - 0,25,4,0,4,AC Milan,FC Salzburg,1,4,1.0,0.0,24.0,9.0,0,
93,6.0,4,10,3 - 1,4,3,1,4,Manchester City,Sevilla,1,2,0.75,0.25,33.0,21.0,0,
94,6.0,38,13,1 - 1,13,1,1,2,FC København,Borussia Dortmund,0,0,0.5,0.5,7.0,18.0,0,
95,6.0,6,8,1 - 2,8,1,2,3,Juventus,Paris Saint-Germain,0,-1,0.3333333333333333,0.6666666666666666,17.0,19.0,0,
96,6.0,162,20,1 - 6,20,1,6,7,Maccabi Haifa,Benfica,0,-5,0.14285714285714285,0.8571428571428571,6.0,25.0,0,
97,7.0,25,23,1 - 0,25,1,0,1,AC Milan,Tottenham Hotspur,1,1,1.0,0.0,24.0,18.0,0,
98,7.0,8,2,0 - 1,2,0,1,1,Paris Saint-Germain,Bayern München,0,-1,0.0,1.0,19.0,27.0,0,
99,7.0,31,20,0 - 2,20,0,2,2,Club Brugge,Benfica,0,-2,0.0,1.0,17.0,25.0,0,
100,7.0,13,9,1 - 0,13,1,0,1,Borussia Dortmund,Chelsea,1,1,1.0,0.0,18.0,21.0,0,
101,7.0,5,1,2 - 5,1,2,5,7,Liverpool,Real Madrid,0,-3,0.2857142857142857,0.7142857142857143,19.0,29.0,0,
102,7.0,35,16,0 - 2,16,0,2,2,Eintracht Frankfurt,Napoli,0,-2,0.0,1.0,16.0,25.0,0,
103,7.0,24,4,1 - 1,4,1,1,2,RB Leipzig,Manchester City,0,0,0.5,0.5,18.0,33.0,0,
104,7.0,18,12,1 - 0,18,1,0,1,Internazionale,FC Porto,1,1,1.0,0.0,29.0,18.0,0,
105,8.0,20,31,5 - 1,20,5,1,6,Benfica,Club Brugge,1,4,0.8333333333333334,0.16666666666666666,25.0,17.0,0,
106,8.0,9,13,2 - 0,9,2,0,2,Chelsea,Borussia Dortmund,1,2,1.0,0.0,21.0,18.0,0,
108,8.0,2,8,2 - 0,2,2,0,2,Bayern München,Paris Saint-Germain,1,2,1.0,0.0,27.0,19.0,0,
107,8.0,23,25,0 - 0,25,0,0,0,Tottenham Hotspur,AC Milan,0,0,,,18.0,24.0,1,25.0
109,8.0,4,24,7 - 0,4,7,0,7,Manchester City,RB Leipzig,1,7,1.0,0.0,33.0,18.0,0,
110,8.0,12,18,0 - 0,18,0,0,0,FC Porto,Internazionale,0,0,,,18.0,29.0,1,18.0
111,8.0,1,5,1 - 0,1,1,0,1,Real Madrid,Liverpool,1,1,1.0,0.0,29.0,19.0,0,
112,8.0,16,35,3 - 0,16,3,0,3,Napoli,Eintracht Frankfurt,1,3,1.0,0.0,25.0,16.0,0,
113,9.0,20,18,0 - 2,18,0,2,2,Benfica,Internazionale,0,-2,0.0,1.0,25.0,29.0,0,
114,9.0,4,2,3 - 0,4,3,0,3,Manchester City,Bayern München,1,3,1.0,0.0,33.0,27.0,0,
115,9.0,1,9,2 - 0,1,2,0,2,Real Madrid,Chelsea,1,2,1.0,0.0,29.0,21.0,0,
116,9.0,25,16,1 - 0,25,1,0,1,AC Milan,Napoli,1,1,1.0,0.0,24.0,25.0,0,
117,10.0,16,25,1 - 1,25,1,1,2,Napoli,AC Milan,0,0,0.5,0.5,25.0,24.0,0,
118,10.0,9,1,0 - 2,1,0,2,2,Chelsea,Real Madrid,0,-2,0.0,1.0,21.0,29.0,0,
119,10.0,2,4,1 - 1,4,1,1,2,Bayern München,Manchester City,0,0,0.5,0.5,27.0,33.0,0,
120,10.0,18,20,3 - 3,20,3,3,6,Internazionale,Benfica,0,0,0.5,0.5,29.0,25.0,0,
121,11.0,1,4,1 - 1,4,1,1,2,Real Madrid,Manchester City,0,0,0.5,0.5,29.0,33.0,0,
122,11.0,25,18,0 - 2,18,0,2,2,AC Milan,Internazionale,0,-2,0.0,1.0,24.0,29.0,0,
123,12.0,18,25,1 - 0,18,1,0,1,Internazionale,AC Milan,1,1,1.0,0.0,29.0,24.0,0,
124,12.0,4,1,4 - 0,4,4,0,4,Manchester City,Real Madrid,1,4,1.0,0.0,33.0,29.0,0,
125,13.0,4,18,1 - 0,4,1,0,1,Manchester City,Internazionale,1,1,1.0,0.0,33.0,29.0,0,
